sensor_1,1641458577,3.3
sensor_1,1641458578,8.0
sensor_1,1641458579,3.4
sensor_1,1641458580,3.9
sensor_1,1641458581,4.4
sensor_1,1641458582,8.8
sensor_1,1641458583,6.2
sensor_1,1641458584,4.4
sensor_1,1641458585,3.1
sensor_1,1641458586,8.6
sensor_1,1641458587,5.3
sensor_1,1641458588,7.2
sensor_1,1641458589,3.0
sensor_1,1641458590,3.2
sensor_1,1641458591,8.9
sensor_1,1641458592,9.1
sensor_1,1641458593,3.5
sensor_1,1641458594,7.5
sensor_1,1641458595,0.7
sensor_1,1641458596,7.6
sensor_1,1641458576,3.0
